label,centroid-0,centroid-1,centroid-2,volume_voxels,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5,equivalent_diameter,extent,solidity,bbox_z_length,bbox_y_length,bbox_x_length,shape_major_axis,shape_intermediate_axis,shape_minor_axis
109,136.54592363261094,213.07327141382868,134.99896800825593,969.0,129,206,121,142,222,145,12.27745595854052,0.19411057692307693,0.6129032258064516,13,16,24,16.391358851201975,15.22073419052542,11.839284838407414
110,140.5095862764884,231.82240161453078,180.51564076690212,991.0,132,227,175,150,237,187,12.369676563758073,0.4587962962962963,0.9025500910746812,18,10,12,15.133827025419212,14.289123545643218,10.40866854560096
111,142.63072378138847,218.09453471196454,148.45494830132938,677.0,136,214,143,150,223,154,10.89423356770855,0.4884559884559885,0.8884514435695539,14,9,11,13.321969211769487,12.210190493463651,9.49123557470238
112,150.78511176718683,208.83403627161536,132.89434837621258,4742.0,137,201,119,175,219,146,20.844315711611745,0.25676846437080353,0.7175064306249054,38,18,27,31.928385527940662,26.991615086069803,20.799398711046322
113,143.19335347432025,243.7250755287009,195.05740181268882,662.0,137,240,189,149,248,203,10.813172279226256,0.49255952380952384,0.8921832884097035,12,8,14,12.877739021884615,11.398635573478408,9.919936141134855
114,140.1566731141199,188.24468085106383,95.90570599613153,2068.0,130,178,88,149,197,103,15.807043096902147,0.3819021237303786,0.8193343898573693,19,19,15,19.24251539521844,16.93909710886548,15.090569870120953
115,148.42857142857142,106.37142857142857,125.27619047619048,210.0,145,103,122,154,110,129,7.374629802528655,0.47619047619047616,0.8641975308641975,9,7,7,9.094980068272422,8.05372687273273,6.795206405065618
116,146.00797872340425,200.63829787234042,193.42287234042553,376.0,142,196,189,151,206,199,8.954948121538386,0.4177777777777778,0.8805620608899297,9,10,10,11.096892740190517,10.004505284273879,7.830661802884543
117,155.0269759913677,184.2176962503372,94.17075802535743,3707.0,138,174,87,169,196,103,19.20177255815725,0.3397177419354839,0.7867147707979627,31,22,16,25.986665151468994,21.40566970055684,18.867240681994183
118,150.68147208121826,137.60532994923858,88.19923857868021,788.0,142,132,85,159,145,93,11.459769042746508,0.4457013574660634,0.862144420131291,17,13,8,15.7307736351292,13.715743891583736,10.192586119648281
119,153.01602300739523,206.6951520131471,168.8229252259655,2434.0,142,201,162,166,214,177,16.689397189810663,0.5200854700854701,0.9177978883861236,24,13,15,20.694334263306505,19.60528046509674,13.925114104987056
120,163.80988593155894,184.53992395437263,182.47908745247148,263.0,159,181,179,170,189,186,7.949119797058365,0.42694805194805197,0.9100346020761245,11,8,7,9.816095462982656,8.341735065107464,7.39615290240202
121,178.38311688311688,203.0,141.04545454545453,154.0,174,201,138,184,207,146,6.650291768032731,0.32083333333333336,0.7475728155339806,10,6,8,9.963881824335367,9.394500528197849,5.50152218562798
122,189.0142857142857,118.24642857142857,178.85357142857143,280.0,185,114,175,193,124,183,8.116830365159922,0.4375,0.875,8,10,8,9.42102923368467,8.613071435959936,7.5676219841282295
